Region,SUBREGCluster,SUBREGClusterDummy,SUBREG_GRP,SUBREG_GRPDummy,SUBREG,TAZ
1,1,1,3,3,13.1,13190
1,1,1,3,3,13.2,13200
1,1,1,3,3,13.2,13160
1,1,1,3,3,13.2,13170
1,1,1,3,3,13.1,13180
1,1,1,3,3,13.1,13220
1,1,1,3,3,13.1,13240
1,1,1,3,3,13.1,13210
1,1,1,3,3,13.1,13230
1,1,1,3,3,13.2,13250
1,1,1,3,3,13.2,13270
1,1,1,3,3,13.2,13310
1,1,1,3,3,13.2,13280
1,1,1,3,3,13.2,13290
1,1,1,3,3,13.2,13320
1,1,1,3,3,13.2,13330
1,1,1,1,1,11.2,14010
1,1,1,1,1,11.2,14020
1,1,1,1,1,11.2,14030
1,1,1,1,1,11.3,14040
1,1,1,6,6,29,21010
1,1,1,6,6,29,21020
1,1,1,6,6,29,21030
1,1,1,6,6,29,21040
1,1,1,6,6,29,21050
1,1,1,6,6,29,21060
1,1,1,6,6,29,21070
1,1,1,6,6,29,21080
1,1,1,6,6,29,21090
1,1,1,6,6,29,21100
1,1,1,6,6,29,21110
1,1,1,6,6,29,21120
1,1,1,6,6,29,21130
1,1,1,6,6,29,21140
1,1,1,6,6,29,21150
1,3,3,8,8,35,21160
1,2,2,4,4,21,22010
1,2,2,4,4,21,22030
1,2,2,4,4,21,22020
1,2,2,4,4,21,22040
1,2,2,4,4,21,22050
1,2,2,4,4,21,22060
1,2,2,4,4,21,22070
1,2,2,4,4,21,22080
1,2,2,4,4,21,22090
1,2,2,4,4,21,22100
1,2,2,4,4,21,22110
1,2,2,4,4,21,22120
1,2,2,5,5,22,22130
1,2,2,4,4,21,22140
1,2,2,4,4,21,22150
1,2,2,4,4,21,22160
1,2,2,4,4,21,22170
1,2,2,4,4,21,22180
1,2,2,4,4,21,22190
1,2,2,4,4,21,22200
1,2,2,5,5,22,22210
1,2,2,4,4,21,22220
1,2,2,4,4,21,22230
1,2,2,4,4,21,22240
1,2,2,4,4,21,22250
1,2,2,4,4,21,22260
1,2,2,4,4,21,22270
1,2,2,4,4,21,22280
1,2,2,4,4,21,22290
1,2,2,5,5,22,22300
1,2,2,5,5,22,22310
1,2,2,5,5,22,22320
1,2,2,5,5,22,22330
1,2,2,5,5,22,22340
1,2,2,5,5,22,22350
1,2,2,4,4,21,22360
1,2,2,4,4,21,22370
1,2,2,4,4,21,22380
1,2,2,5,5,22,22390
1,2,2,5,5,22,22400
1,2,2,5,5,22,22410
1,2,2,5,5,22,22420
1,2,2,5,5,22,22430
1,2,2,5,5,22,22440
1,2,2,5,5,22,22450
1,2,2,5,5,22,22460
1,2,2,5,5,22,22470
1,2,2,5,5,22,22480
1,2,2,4,4,21,22490
1,2,2,4,4,21,22500
1,2,2,4,4,21,22510
1,2,2,5,5,22,22520
1,2,2,5,5,22,22530
