hhID,SUBREG,SUBREG_GRP,SUBREGCluster,HHSize,HHIncome,HHDwelling,HHChildren,HHweight,SUBREG_GRPDummy,SUBREGClusterDummy
23480,38,11,4,1,1,2,0,34.36724645,11,4
23481,38,11,4,3,2,1,0,34.36724645,11,4
23482,42.1,13,1,4,2,2,1,17.06159924,13,1
23483,36,9,2,1,2,1,0,27.40659837,9,2
23484,39,11,2,2,1,2,0,34.36724645,11,2
23485,38,11,4,1,2,2,0,34.36724645,11,4
23486,74,33,4,2,2,1,0,44.53609388,33,4
23487,13.2,3,1,4,2,1,1,14.4772284,3,1
23488,42.1,13,1,3,1,2,1,37.91466497,13,1
23489,38,11,4,2,2,2,0,34.36724645,11,4
23490,55,21,3,2,1,1,0,38.37644494,21,3
23491,33,6,2,1,2,2,0,24.16290488,6,2
23492,55,21,3,2,2,1,0,38.37644494,21,3
23493,13.1,3,1,1,2,2,0,32.17161866,3,1
23494,44,16,3,1,2,1,0,36.22521005,16,3
23495,36,9,2,1,1,2,0,27.40659837,9,2
23496,42.2,14,1,2,1,1,0,38.48608728,14,1
23497,57.2,23,3,2,3,2,0,38.236955,23,3
23498,68,28,3,2,3,1,0,29.48582053,28,3
23499,42.1,13,1,3,2,2,0,37.91466497,13,1
23500,33,6,2,2,3,2,0,24.16290488,6,2
23501,57.2,23,3,2,2,1,0,38.236955,23,3
23502,33,6,2,1,2,2,0,24.16290488,6,2
23503,36,9,2,2,2,2,0,27.40659837,9,2
23504,62.2,26,4,2,2,1,1,40.292277,26,4
23505,57.2,23,3,2,2,1,0,38.236955,23,3
23506,51.1,19,1,2,3,2,0,32.82337558,19,1
23508,21,4,2,1,3,2,0,29.76898566,4,2
23509,74,33,4,2,2,2,0,69.66809669,33,4
23510,12,2,4,3,3,1,0,20.3367354,2,4
23511,37,10,4,3,3,1,1,47.84701718,10,4
23512,53.2,20,3,4,3,1,1,16.72147546,20,3
23513,35,8,3,2,2,1,0,33.68115209,8,3
23514,36,9,2,2,3,2,0,27.40659837,9,2
23515,12,2,4,4,1,1,1,9.151530931,2,4
23516,36,9,2,1,2,2,0,27.40659837,9,2
23517,51.1,19,1,2,3,2,0,32.82337558,19,1
23518,22,5,2,1,2,2,0,37.35369136,5,2
