MAZ,HHS,hh_size_1,hh_size_2,hh_size_3,hh_size_4,hh_wrks_0,hh_wrks_1,hh_wrks_2,hh_wrks_3m,hh_inc_0_30,hh_inc_30_60,hh_inc_60_100,hh_inc_100_150,hh_inc_150_plus,hh_kid,hh_no_kid,hh_unit_single,hh_unit_multi,hh_unit_mobile,pop,age_0_5,age_6_15,age_16_17,age_18_64,age_65p,MGRA,Dwelling Unit,Share Affordable
14406,5,1.251980198019802,1.916963696369637,0.6946864686468648,1.1363696369636964,1.2541584158415842,2.022178217821782,1.1688118811881187,0.5548514851485149,0.6866996699669967,1.3305280528052807,1.2725742574257426,0.8364026402640263,0.8737953795379538,1.368943894389439,3.6310561056105612,2.0,3.0,0.0,12.745221890740744,0.7546031611489847,1.5009404329444718,0.29059419812118614,7.192731584544138,3.0063525139819633,14406.0,3.0,0.0
14407,24,6.371321869029008,9.347715824214001,3.200607955532395,5.080354351224596,6.252232065311794,9.489682126107347,5.7266805627931205,2.5314052457877367,3.6630015633142263,6.508025013027619,5.957981587632447,3.9486190724335595,3.922372763592149,6.219037693243008,17.78096230675699,1.0,23.0,0.0,59.65760547252988,3.4469177859529196,6.562754971030477,1.4301595466534895,34.00659125593652,14.211181912956473,14407.0,25.0,0.0
14409,19,3.8682634730538923,7.736526946107785,2.6167664670658684,4.778443113772455,4.607784431137724,6.598802395209582,5.062874251497006,2.7305389221556884,2.9580838323353293,4.892215568862275,5.347305389221557,2.6167664670658684,3.18562874251497,5.176646706586826,13.823353293413174,0.0,19.0,0.0,50.70314995108069,3.5321295471539353,5.184254657919486,1.0254569653027554,29.852191656591327,11.109117124113185,14409.0,21.0,0.0
14410,2,0.46045694200351495,0.7592267135325131,0.29173989455184535,0.48857644991212656,0.4850615114235501,0.8084358523725835,0.45342706502636204,0.2530755711775044,0.210896309314587,0.5518453427065027,0.523725834797891,0.3444639718804921,0.36906854130052724,0.5764499121265377,1.4235500878734622,2.0,0.0,0.0,5.242600005451664,0.29747730338010114,0.6544500674362225,0.11549118837109808,2.890779442258394,1.2844020040058484,0.0,0.0,0.0
14411,1,0.2153846153846154,0.3868131868131868,0.13846153846153847,0.25934065934065936,0.23296703296703297,0.41318681318681316,0.21318681318681318,0.14065934065934066,0.1054945054945055,0.2857142857142857,0.26373626373626374,0.17142857142857143,0.17362637362637362,0.2923076923076923,0.7076923076923077,1.0,0.0,0.0,2.6722163773107415,0.13524686970878855,0.3490241798936479,0.06107923148138838,1.4768085611749975,0.6500575350519191,0.0,0.0,0.0
14412,15,3.4710693190573085,5.993500721044626,1.9320440133541414,3.6033859465439244,3.4536852294502283,5.679704733871977,3.8968083074876696,1.9698017291901253,2.051849364229602,3.904835279166091,4.186852623746403,2.4215049090298493,2.4349578238280554,3.9521147349914068,11.047885265008594,1.0,14.0,0.0,38.97638615186371,2.5365179189515956,4.08424457348155,0.8820747344812904,23.049580751481834,8.423968173467435,14412.0,15.0,0.0
14413,2,0.4245810055865922,0.7988826815642458,0.2681564245810056,0.5083798882681564,0.46368715083798884,0.8379888268156425,0.45251396648044695,0.24581005586592178,0.18435754189944134,0.5921787709497207,0.5307262569832403,0.329608938547486,0.36312849162011174,0.6089385474860335,1.3910614525139664,2.0,0.0,0.0,5.312097296778299,0.2781202773182356,0.7342375321201419,0.1390601386591178,2.914700506295109,1.2459788423856955,0.0,0.0,0.0
14414,1,0.21915285451197053,0.3830570902394107,0.14548802946593,0.2523020257826888,0.24493554327808473,0.4106813996316759,0.21915285451197053,0.1252302025782689,0.10313075506445672,0.281767955801105,0.26151012891344383,0.16758747697974216,0.1860036832412523,0.285451197053407,0.714548802946593,1.0,0.0,0.0,2.6551426144717833,0.14465949416777305,0.3314350435995812,0.05493398512700241,1.4703996685660978,0.6537144230113288,0.0,0.0,0.0
14415,13,2.70475628329289,5.382739799896523,1.6703247855773924,3.2421791312331942,3.1973999664793884,4.769108570345918,3.201910674857355,1.8315807883173383,1.795823040319466,3.3092567897456076,3.7750912707955315,1.9076434281383672,2.2121854710010274,3.5018691384474128,9.498130861552587,2.0,11.0,0.0,34.41849316226674,2.1524327827774177,3.712792680483732,0.7561268475238812,19.878483125125324,7.918657726356387,14415.0,12.0,0.0
14416,20,5.302383886457315,7.802439128032975,2.668860748735818,4.226316236773892,5.213117749543194,7.903437725746824,4.779943058683551,2.103501466026431,3.0226362979645605,5.442009093613224,4.975502485870904,3.2880083287298687,3.2718437938214424,5.185080525219904,14.814919474780096,1.0,19.0,0.0,49.701177827862885,2.864446881574329,5.469639498973478,1.1906638431075955,28.320961506729677,11.855466097477809,14416.0,20.0,0.0
14417,1,0.20892018779342722,0.4084507042253521,0.14084507042253522,0.24178403755868544,0.2347417840375587,0.42018779342723006,0.22769953051643194,0.11737089201877934,0.08685446009389672,0.2863849765258216,0.2793427230046948,0.17136150234741784,0.176056338028169,0.2887323943661972,0.7112676056338029,1.0,0.0,0.0,2.6303497358690993,0.1379472305922461,0.3366847661912447,0.05845221635264665,1.4613054088161663,0.6359601139167955,0.0,0.0,0.0
14418,1,0.22588832487309646,0.38071065989847713,0.14974619289340102,0.2436548223350254,0.2436548223350254,0.41878172588832485,0.22588832487309646,0.1116751269035533,0.09644670050761421,0.2868020304568528,0.2639593908629442,0.1649746192893401,0.18781725888324874,0.2918781725888325,0.7081218274111675,1.0,0.0,0.0,2.627686728059304,0.15948387655851268,0.3341566937416456,0.048098311977964145,1.4707957504840614,0.6151520952971203,0.0,0.0,0.0
14419,1,0.22006472491909385,0.3818770226537217,0.13915857605177995,0.2588996763754045,0.21359223300970873,0.44660194174757284,0.22330097087378642,0.11650485436893204,0.09061488673139159,0.28802588996763756,0.2750809061488673,0.1650485436893204,0.18122977346278318,0.3074433656957929,0.6925566343042071,1.0,0.0,0.0,2.6669594683262297,0.1521202609360835,0.37220914909892766,0.055022222040711055,1.482363393802686,0.6052444424478216,0.0,0.0,0.0
14420,1,0.2126984126984127,0.37777777777777777,0.1492063492063492,0.26031746031746034,0.21587301587301588,0.44126984126984126,0.2253968253968254,0.11746031746031746,0.09206349206349207,0.27936507936507937,0.2698412698412698,0.17142857142857143,0.1873015873015873,0.2984126984126984,0.7015873015873015,1.0,0.0,0.0,2.6884690082718254,0.1585182198273482,0.35825117680980695,0.05072583034475142,1.4964119951701669,0.6245617861197519,0.0,0.0,0.0
14421,2,0.42857142857142855,0.7738095238095238,0.2896825396825397,0.5079365079365079,0.48412698412698413,0.8333333333333334,0.44841269841269843,0.23412698412698413,0.20238095238095238,0.5515873015873016,0.5277777777777778,0.3373015873015873,0.38095238095238093,0.5992063492063492,1.4007936507936507,2.0,0.0,0.0,5.328352226747968,0.29996649572803374,0.6946592532649202,0.1223547548364348,2.9207264057729603,1.290645317145619,0.0,0.0,0.0
14423,5,1.2690360610263522,1.9706426259824317,0.6957235321312991,1.0645977808599167,1.2864077669902914,2.111245954692557,1.1295654184003698,0.4727808599167822,0.6601363846509478,1.409928340268146,1.229842810910772,0.8564840499306519,0.8436084142394822,1.3306749884419786,3.6693250115580214,2.0,3.0,0.0,12.52026958526756,0.7031702142837307,1.4354923763648761,0.24214323734518195,7.02467561758395,3.1147881396898196,14423.0,3.0,0.0
14424,11,1.662525879917184,4.600414078674948,1.7080745341614905,3.028985507246377,2.7556935817805384,4.008281573498965,2.869565217391304,1.3664596273291925,2.6873706004140785,3.05175983436853,2.5734989648033126,1.320910973084886,1.3664596273291925,3.393374741200828,7.606625258799172,0.0,11.0,0.0,30.8911961560163,2.0338022341195807,2.982909943375385,0.7457274858438463,19.004751987717416,6.124004504960071,14424.0,12.0,0.0
