TAZ,PUMA,REGION,STATE
3515,607316,4,6
3515,607316,4,6
3515,607316,4,6
3515,607316,4,6
3515,607316,4,6
3515,607316,4,6
3573,607316,4,6
3573,607316,4,6
3573,607316,4,6
3608,607316,4,6
3608,607316,4,6
3608,607316,4,6
3608,607316,4,6
3608,607316,4,6
3571,607316,4,6
3571,607316,4,6
3609,607316,4,6
3609,607316,4,6
3609,607316,4,6
3609,607316,4,6
3550,607316,4,6
3550,607316,4,6
3550,607316,4,6
3550,607316,4,6
3550,607316,4,6
3605,607316,4,6
3605,607316,4,6
3605,607316,4,6
3605,607316,4,6
3325,607316,4,6
3362,607316,4,6
3420,607316,4,6
3420,607316,4,6
3425,607316,4,6
3420,607316,4,6
3420,607316,4,6
3450,607316,4,6
3450,607316,4,6
3325,607316,4,6
3427,607316,4,6
3472,607316,4,6
3472,607316,4,6
3472,607316,4,6
3472,607316,4,6
3472,607316,4,6
3483,607316,4,6
3484,607316,4,6
3484,607316,4,6
3485,607316,4,6
3485,607316,4,6
3472,607316,4,6
3484,607316,4,6
3325,607316,4,6
3325,607316,4,6
3373,607316,4,6
3325,607316,4,6
3419,607316,4,6
3419,607316,4,6
3373,607316,4,6
3419,607316,4,6
3419,607316,4,6
3449,607316,4,6
3449,607316,4,6
3451,607316,4,6
3451,607316,4,6
3449,607316,4,6
3250,607316,4,6
3250,607316,4,6
3280,607316,4,6
3297,607316,4,6
3297,607316,4,6
3280,607316,4,6
3280,607316,4,6
3280,607316,4,6
3297,607316,4,6
3280,607316,4,6
3280,607316,4,6
3297,607316,4,6
3327,607316,4,6
3327,607316,4,6
3327,607316,4,6
3327,607316,4,6
3327,607316,4,6
3327,607316,4,6
3297,607316,4,6
3297,607316,4,6
3366,607316,4,6
3366,607316,4,6
3366,607316,4,6
3366,607316,4,6
3366,607316,4,6
3366,607316,4,6
3366,607316,4,6
3359,607316,4,6
3359,607316,4,6
3359,607316,4,6
3366,607316,4,6
3366,607316,4,6
3366,607316,4,6
3389,607316,4,6
3389,607316,4,6
3389,607316,4,6
3389,607316,4,6
3444,607316,4,6
3462,607316,4,6
3444,607316,4,6
3444,607316,4,6
3462,607316,4,6
3444,607316,4,6
3444,607316,4,6
3462,607316,4,6
3512,607316,4,6
3512,607316,4,6
3512,607316,4,6
3512,607316,4,6
3512,607316,4,6
3512,607316,4,6
