"TAZ","POPBASE","HHBASE","HHS1BASE","HHS2BASE","HHS3BASE","HHS4BASE","AGE1BASE","AGE2BASE","AGE3BASE","AGE4BASE","HHI1BASE","HHI2BASE","HHI3BASE","HHI4BASE","PSFD","GQPOPBASE"
233,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0.6667,0
234,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0
235,67,30,9,12,4,5,2,14,10,4,6,8,11,5,0.5625,0
236,14,5,0,3,0,2,0,3,1,1,1,1,2,1,0.7143,0
237,202,70,7,28,11,24,2,29,23,16,12,9,23,26,0.8286,0
238,231,85,18,29,16,22,2,51,19,13,18,22,31,14,0.5727,0
239,22,8,3,2,1,2,0,5,2,1,2,2,3,1,0.6,0
240,19,8,1,5,1,1,0,4,3,1,2,2,3,1,0.5455,0
241,541,206,50,69,31,56,10,127,35,34,43,54,76,33,0.5714,0
242,20,9,4,3,0,2,1,5,1,2,2,2,3,2,0.6,0
243,65,23,4,9,4,6,2,11,6,4,2,9,6,6,0.4762,0
246,9,3,0,1,1,1,0,2,1,0,0,1,1,1,0.5,0
247,47,18,3,8,2,5,0,9,4,5,4,4,5,5,0.5909,0
248,22,9,2,3,3,1,0,4,1,4,2,2,2,3,0.6,0
249,36,20,9,8,1,2,0,8,8,4,5,5,5,5,0.6,0
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251,81,32,6,12,7,7,3,14,7,8,8,7,8,9,0.6053,0
252,9,4,1,1,1,1,0,2,1,1,1,1,1,1,0.6,0
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,18,9,3,4,1,1,3,5,0,1,2,2,2,3,0.6,0
255,1439,649,181,280,91,97,212,354,46,37,155,151,166,177,0.5977,0
256,532,354,222,111,11,10,2,23,33,296,85,82,91,96,0.5983,0
257,93,42,15,16,3,8,2,20,8,12,10,10,11,11,0.587,0
258,46,18,0,12,3,3,0,8,7,3,1,2,6,9,0.9412,0
259,54,27,10,12,2,3,0,10,6,11,1,4,9,13,0.9412,0
260,586,229,34,102,42,51,6,102,66,55,10,31,79,109,0.9231,0
261,70,26,5,8,6,7,3,8,3,12,1,4,9,12,0.9167,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,415,162,29,65,33,35,14,94,31,23,6,47,75,34,0.9,0
265,144,59,18,21,10,10,1,21,17,20,15,12,22,10,0.7573,0
266,15,4,0,1,1,2,0,2,2,0,1,1,1,1,0.75,0
267,21,8,2,1,3,2,0,4,1,3,2,2,3,1,0.7692,0
268,57,25,3,16,3,3,0,11,6,8,6,5,10,4,0.7674,0
269,52,18,4,4,4,6,0,7,7,4,2,2,3,11,0.8846,0
270,183,78,12,45,8,13,0,33,29,16,9,10,14,45,0.8621,0
271,8,4,2,1,0,1,0,1,1,2,0,1,1,2,0.8,0
272,74,32,9,10,9,4,0,19,7,6,3,4,13,12,0.8571,0
273,191,66,5,35,6,20,0,27,22,17,5,9,27,25,0.8387,0
274,71,28,6,13,3,6,2,7,9,10,2,4,12,10,0.8438,0
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0
277,323,122,24,47,21,30,1,57,39,25,24,26,45,27,0.7414,0
278,423,162,18,83,34,27,1,53,53,55,31,34,61,36,0.7405,8
279,301,122,18,63,20,21,1,44,38,39,3,11,22,86,0.9542,0
280,152,62,7,36,9,10,1,23,19,19,2,6,11,43,0.9524,0
281,161,59,4,32,9,14,0,24,20,15,2,5,11,41,0.9661,0
282,61,24,4,11,3,6,0,8,13,3,1,2,4,17,0.963,0
283,66,32,14,9,3,6,1,19,6,6,6,11,8,7,0.4545,0
284,379,164,59,54,20,31,7,84,36,37,32,54,40,38,0.4466,0
285,122,47,9,17,10,11,0,27,8,12,9,16,11,11,0.4423,0
286,307,118,26,40,22,30,0,67,25,26,23,39,29,27,0.4472,0
287,46,18,5,6,2,5,0,11,4,3,4,6,4,4,0.4348,0
288,200,54,16,20,5,13,1,31,11,11,11,18,13,12,0.4444,68
289,63,25,4,14,2,5,0,11,8,6,1,4,5,15,0.9062,0
290,12,4,0,1,2,1,0,2,2,0,0,1,1,2,0.8571,0
292,411,165,35,70,26,34,9,57,46,53,38,22,38,67,1,0
293,80,50,26,19,4,1,17,21,6,6,26,10,8,6,0.2778,0
294,138,67,27,27,2,11,31,29,2,5,35,13,11,8,0.2903,0
295,125,57,20,20,6,11,18,32,4,3,30,17,3,7,0.1325,0
296,197,93,37,32,12,12,20,58,8,7,49,27,5,12,0.1447,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,2,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0
299,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
300,47,30,23,7,0,0,17,11,1,1,15,9,2,4,0.16,10
301,240,116,25,71,11,9,90,22,2,2,81,19,10,6,0.25,0
302,1013,559,254,213,61,31,363,157,20,19,392,91,49,27,0.2483,8
303,23,8,1,0,6,1,6,1,1,0,5,1,2,0,0.1111,0
304,1117,486,164,157,74,91,108,303,45,30,176,180,108,22,0.2224,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,178,62,25,14,9,14,0,35,20,7,17,8,25,12,0.5,37
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,539,204,51,78,27,48,15,104,57,28,8,59,94,43,0.9016,18
310,484,186,35,75,34,42,16,111,42,17,7,54,86,39,0.9,4
311,452,206,58,85,38,25,45,100,42,19,54,68,54,30,0.5633,0
312,532,251,81,103,40,27,51,142,33,25,66,83,66,36,0.5611,0
313,286,134,49,47,19,19,11,78,32,13,36,44,35,19,0.5597,5
314,12,3,1,0,0,2,0,2,0,1,1,0,1,1,1,0
315,1500,623,132,256,132,103,139,353,70,61,170,84,253,116,0.5137,0
316,554,217,50,67,47,53,23,148,20,26,59,29,89,40,0.5169,0
317,569,197,30,58,50,59,23,145,17,12,54,27,80,36,0.514,0
318,184,70,12,30,12,16,3,35,21,11,19,10,28,13,0.5082,0
319,21,12,4,7,1,0,0,7,3,2,3,2,5,2,0.5455,0
320,14,8,3,4,0,1,0,4,2,2,2,2,3,1,0.75,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,6,3,2,1,0,0,0,0,2,1,1,1,1,0,0.75,0
323,140,50,7,16,14,13,1,34,6,9,8,7,16,19,0.8182,0
324,16,5,0,1,2,2,0,3,2,0,1,1,1,2,0.8333,0
325,262,94,15,23,30,26,2,67,11,14,16,12,30,36,0.8182,0
326,245,92,24,26,22,20,4,55,19,14,15,12,30,35,0.82,0
327,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0
328,124,49,17,13,6,13,1,29,8,11,10,13,18,8,0.5763,3
329,177,65,16,15,17,17,7,41,10,7,14,17,24,10,0.5765,0
330,15,9,5,3,0,1,0,6,1,2,2,2,3,2,0.6667,0
331,18,8,5,2,0,1,0,6,2,0,2,2,3,1,0.625,3
332,54,23,7,8,4,4,2,14,2,5,5,6,8,4,0.5769,0
333,120,56,23,19,4,10,3,36,9,8,12,14,21,9,0.5741,0
334,134,50,13,15,9,13,3,26,8,13,11,13,18,8,0.5763,0
335,124,50,14,18,6,12,2,26,12,10,11,13,18,8,0.5781,0
336,317,133,22,69,20,22,3,50,40,40,16,18,24,75,0.8675,0
337,460,159,20,63,27,49,1,96,35,27,19,21,29,90,0.8644,0
338,167,76,20,35,10,11,0,29,20,27,9,10,14,43,0.8617,0
339,6,3,1,1,0,1,0,1,0,2,1,0,1,1,1,0
340,62,19,1,7,3,8,1,10,4,4,3,3,7,6,0.7222,0
341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
342,144,58,18,19,7,14,4,27,11,16,5,21,16,16,0.4681,0
343,36,13,2,6,1,4,0,5,3,5,1,5,3,4,0.5294,0
344,144,47,4,15,9,19,2,37,1,7,4,17,13,13,0.4324,0
345,27,12,2,7,2,1,0,4,3,5,1,5,3,3,0.4,0
346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
347,195,81,28,27,10,16,16,44,14,7,6,30,22,23,0.4603,11
348,294,113,22,47,17,27,8,61,20,24,9,42,30,32,0.4667,0
349,205,78,16,29,14,19,0,44,25,9,17,20,20,21,0.5955,0
350,660,223,28,81,38,76,2,132,51,38,50,55,57,61,0.5961,0
351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,18,8,2,5,0,1,0,4,4,0,0,1,3,4,0.6667,0
353,475,178,38,56,39,45,15,105,28,30,43,41,46,48,0.5953,0
354,39,17,6,6,1,4,0,9,5,3,4,4,4,5,0.6,0
355,302,141,50,53,19,19,7,58,22,54,3,22,52,64,0.7279,0
356,1307,511,124,173,82,132,105,294,53,59,8,81,190,232,0.7258,0
357,37,13,2,5,3,3,0,8,3,2,0,2,5,6,0.7143,0
358,94,34,8,13,6,7,5,17,6,6,0,5,13,16,0.7143,0
359,6,3,0,3,0,0,0,2,0,1,0,1,1,1,0.75,0
360,34,12,0,5,4,3,1,2,5,4,0,2,4,6,0.7222,0
361,355,138,35,47,22,34,8,72,31,27,2,22,51,63,0.7293,0
362,149,64,22,19,10,13,2,43,8,11,1,10,24,29,0.7193,0
363,80,34,8,15,6,5,0,15,8,11,1,5,12,16,0.925,0
364,147,54,8,23,10,13,0,25,13,16,2,7,19,26,0.9259,0
365,275,113,16,57,21,19,0,39,29,45,5,15,39,54,0.9208,0
366,32,12,0,9,0,3,0,4,4,4,0,2,4,6,0.9091,0
367,126,47,7,17,9,14,5,21,14,7,2,6,16,23,0.9211,0
368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
