"TAZ","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
285,41,3,600,41003000600,6,"Census Tract 6",600,1
286,41,3,600,41003000600,6,"Census Tract 6",600,1
287,41,3,600,41003000600,6,"Census Tract 6",600,1
288,41,3,600,41003000600,6,"Census Tract 6",600,1
289,41,3,10200,41003010200,102,"Census Tract 102",600,1
290,41,3,10200,41003010200,102,"Census Tract 102",600,1
292,41,3,900,41003000900,9,"Census Tract 9",600,1
293,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
294,41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
295,41,3,10600,41003010600,106,"Census Tract 106",600,1
296,41,3,10600,41003010600,106,"Census Tract 106",600,1
297,41,3,10600,41003010600,106,"Census Tract 106",600,1
298,41,3,10600,41003010600,106,"Census Tract 106",600,1
299,41,3,10600,41003010600,106,"Census Tract 106",600,1
300,41,3,10600,41003010600,106,"Census Tract 106",600,1
301,41,3,10600,41003010600,106,"Census Tract 106",600,1
302,41,3,10600,41003010600,106,"Census Tract 106",600,1
303,41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
304,41,3,100,41003000100,1,"Census Tract 1",600,1
306,41,3,100,41003000100,1,"Census Tract 1",600,1
307,41,3,100,41003000100,1,"Census Tract 1",600,1
308,41,3,100,41003000100,1,"Census Tract 1",600,1
309,41,3,100,41003000100,1,"Census Tract 1",600,1
310,41,3,100,41003000100,1,"Census Tract 1",600,1
311,41,3,100,41003000100,1,"Census Tract 1",600,1
312,41,3,100,41003000100,1,"Census Tract 1",600,1
313,41,3,100,41003000100,1,"Census Tract 1",600,1
314,41,3,100,41003000100,1,"Census Tract 1",600,1
315,41,3,100,41003000100,1,"Census Tract 1",600,1
316,41,3,100,41003000100,1,"Census Tract 1",600,1
317,41,3,100,41003000100,1,"Census Tract 1",600,1
318,41,3,100,41003000100,1,"Census Tract 1",600,1
319,41,3,100,41003000100,1,"Census Tract 1",600,1
320,41,3,10400,41003010400,104,"Census Tract 104",600,1
321,41,3,10400,41003010400,104,"Census Tract 104",600,1
322,41,3,10400,41003010400,104,"Census Tract 104",600,1
323,41,3,10900,41003010900,109,"Census Tract 109",600,1
324,41,3,10900,41003010900,109,"Census Tract 109",600,1
325,41,3,10900,41003010900,109,"Census Tract 109",600,1
326,41,3,10900,41003010900,109,"Census Tract 109",600,1
327,41,3,10800,41003010800,108,"Census Tract 108",600,1
328,41,3,10800,41003010800,108,"Census Tract 108",600,1
329,41,3,10800,41003010800,108,"Census Tract 108",600,1
330,41,3,10800,41003010800,108,"Census Tract 108",600,1
331,41,3,10800,41003010800,108,"Census Tract 108",600,1
332,41,3,10800,41003010800,108,"Census Tract 108",600,1
333,41,3,10800,41003010800,108,"Census Tract 108",600,1
334,41,3,10800,41003010800,108,"Census Tract 108",600,1
335,41,3,10800,41003010800,108,"Census Tract 108",600,1
336,41,3,10300,41003010300,103,"Census Tract 103",600,1
337,41,3,10300,41003010300,103,"Census Tract 103",600,1
338,41,3,10300,41003010300,103,"Census Tract 103",600,1
339,41,3,10800,41003010800,108,"Census Tract 108",600,1
340,41,3,10800,41003010800,108,"Census Tract 108",600,1
341,41,3,10800,41003010800,108,"Census Tract 108",600,1
342,41,3,10800,41003010800,108,"Census Tract 108",600,1
343,41,3,10800,41003010800,108,"Census Tract 108",600,1
344,41,3,10800,41003010800,108,"Census Tract 108",600,1
345,41,3,10800,41003010800,108,"Census Tract 108",600,1
346,41,3,10800,41003010800,108,"Census Tract 108",600,1
