"TAZ","BLKGRP","STATEFP","COUNTYFP","TRACTCE","GEOID","NAME","NAMELSAD","PUMA","REGION"
315,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
316,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
317,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
318,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
319,"42",41,3,100,41003000100,1,"Census Tract 1",600,1
320,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
321,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
322,"7",41,3,10400,41003010400,104,"Census Tract 104",600,1
323,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
324,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
325,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
326,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
327,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
328,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
329,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
330,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
331,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
332,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
333,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
334,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
335,"6",41,3,10800,41003010800,108,"Census Tract 108",600,1
336,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
337,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
338,"9",41,3,10300,41003010300,103,"Census Tract 103",600,1
339,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
340,"41",41,3,10800,41003010800,108,"Census Tract 108",600,1
341,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
342,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
343,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
344,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
345,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
346,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
347,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
348,"46",41,3,10800,41003010800,108,"Census Tract 108",600,1
349,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
350,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
351,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
352,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
353,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
354,"45",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
355,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
356,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
357,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
358,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
359,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
360,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
361,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
362,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
363,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
364,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
365,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
366,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
367,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
368,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
369,"57",41,3,202,41003000202,2.02,"Census Tract 2.02",600,1
370,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
371,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
372,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
373,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
376,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
377,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
378,"47",41,3,10900,41003010900,109,"Census Tract 109",600,1
379,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
380,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
381,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
382,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
383,"37",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
384,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
385,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
386,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
387,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
388,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
389,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
390,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
391,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
392,"27",41,3,10600,41003010600,106,"Census Tract 106",600,1
393,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
394,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
395,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
396,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
397,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
398,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
399,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
400,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
403,"34",41,3,1102,41003001102,11.02,"Census Tract 11.02",600,1
406,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
407,"51",41,3,10200,41003010200,102,"Census Tract 102",600,1
408,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
409,"56",41,3,10900,41003010900,109,"Census Tract 109",600,1
410,"8",41,3,10300,41003010300,103,"Census Tract 103",600,1
415,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
416,"44",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
417,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
418,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
419,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
420,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
421,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
422,"35",41,3,10702,41003010702,107.02,"Census Tract 107.02",600,1
