TAZ,POPBASE,HHBASE,HHSIZE1,HHSIZE2,HHSIZE3,HHSIZE4,HHAGE1,HHAGE2,HHAGE3,HHAGE4,HHINC1,HHINC2,HHINC3,HHINC4,OSUFAM,OSUNFAM,STATEFP,COUNTYFP,TRACTCE,TRACTGEOID,PUMA,REGION,MAZ,xTAZ
215,142,35,18,8,5,4,17,12,5,1,12,16,4,3,5,40,41,3,10600,41003010600,600,1,108,15
216,11,4,0,3,0,1,0,2,2,0,2,1,0,1,1,7,41,3,10600,41003010600,600,1,109,15
217,56,53,50,3,0,0,0,25,16,12,28,15,3,7,4,28,41,3,10600,41003010600,600,1,110,15
218,11,9,7,2,0,0,2,6,1,0,5,3,0,1,1,4,41,3,10600,41003010600,600,1,111,15
219,10,5,1,3,1,0,0,3,2,0,3,1,0,1,1,3,41,3,10600,41003010600,600,1,112,15
220,13,10,7,3,0,0,3,6,1,0,5,3,1,1,1,3,41,3,10600,41003010600,600,1,113,15
221,24,16,9,6,1,0,7,8,1,0,8,5,1,2,2,11,41,3,10600,41003010600,600,1,114,15
222,42,26,17,6,2,1,7,16,1,2,14,8,1,3,3,18,41,3,10600,41003010600,600,1,115,15
223,73,41,23,13,1,4,10,24,6,1,22,12,2,5,5,36,41,3,10600,41003010600,600,1,116,15
224,26,13,5,6,0,2,4,3,4,2,6,4,1,2,2,13,41,3,10600,41003010600,600,1,117,15
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,118,15
227,72,46,30,10,4,2,16,21,8,1,24,13,3,6,5,30,41,3,10600,41003010600,600,1,119,15
228,171,67,21,25,9,12,16,35,13,3,35,19,4,9,10,72,41,3,10600,41003010600,600,1,120,15
229,7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,41,3,10600,41003010600,600,1,121,15
230,500,250,104,95,21,30,161,66,13,10,154,41,55,0,25,236,41,3,10702,41003010702,600,1,122,16
231,167,55,5,19,11,20,5,30,15,5,1,9,20,25,11,67,41,3,10900,41003010900,600,1,123,18
232,275,108,25,39,20,24,3,52,25,28,26,25,28,29,17,95,41,3,202,41003000202,600,1,124,2
233,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,41,3,10900,41003010900,600,1,125,18
234,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,41,3,10900,41003010900,600,1,126,18
235,67,30,9,12,4,5,2,14,10,4,6,8,11,5,3,3,41,3,10800,41003010800,600,1,127,17
236,14,5,0,3,0,2,0,3,1,1,1,1,2,1,1,1,41,3,10800,41003010800,600,1,128,17
237,202,70,7,28,11,24,2,29,23,16,12,9,23,26,8,6,41,3,10900,41003010900,600,1,129,18
238,231,85,18,29,16,22,2,51,19,13,18,22,31,14,10,10,41,3,10800,41003010800,600,1,130,17
239,22,8,3,2,1,2,0,5,2,1,2,2,3,1,1,1,41,3,10800,41003010800,600,1,131,17
240,19,8,1,5,1,1,0,4,3,1,2,2,3,1,1,1,41,3,10800,41003010800,600,1,132,17
241,541,206,50,69,31,56,10,127,35,34,43,54,76,33,18,9,41,3,10800,41003010800,600,1,133,17
242,20,9,4,3,0,2,1,5,1,2,2,2,3,2,1,0,41,3,10800,41003010800,600,1,134,17
243,65,23,4,9,4,6,2,11,6,4,2,9,6,6,2,2,41,3,10800,41003010800,600,1,135,17
246,9,3,0,1,1,1,0,2,1,0,0,1,1,1,0,0,41,3,10800,41003010800,600,1,136,17
247,47,18,3,8,2,5,0,9,4,5,4,4,5,5,2,3,41,3,202,41003000202,600,1,137,2
248,22,9,2,3,3,1,0,4,1,4,2,2,2,3,1,2,41,3,202,41003000202,600,1,138,2
249,36,20,9,8,1,2,0,8,8,4,5,5,5,5,2,5,41,3,202,41003000202,600,1,139,2
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,202,41003000202,600,1,140,2
251,81,32,6,12,7,7,3,14,7,8,8,7,8,9,5,25,41,3,202,41003000202,600,1,141,2
252,9,4,1,1,1,1,0,2,1,1,1,1,1,1,1,2,41,3,202,41003000202,600,1,142,2
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,202,41003000202,600,1,143,2
254,18,9,3,4,1,1,3,5,0,1,2,2,2,3,1,4,41,3,202,41003000202,600,1,144,2
255,1439,649,181,280,91,97,212,354,46,37,155,151,166,177,89,312,41,3,202,41003000202,600,1,145,2
256,532,354,222,111,11,10,2,23,33,296,85,82,91,96,31,89,41,3,202,41003000202,600,1,146,2
257,93,42,15,16,3,8,2,20,8,12,10,10,11,11,5,9,41,3,202,41003000202,600,1,147,2
258,46,18,0,12,3,3,0,8,7,3,1,2,6,9,2,3,41,3,202,41003000202,600,1,148,2
259,54,27,10,12,2,3,0,10,6,11,1,4,9,13,2,3,41,3,202,41003000202,600,1,149,2
260,586,229,34,102,42,51,6,102,66,55,10,31,79,109,34,146,41,3,202,41003000202,600,1,150,2
261,70,26,5,8,6,7,3,8,3,12,1,4,9,12,4,16,41,3,202,41003000202,600,1,151,2
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,100,41003000100,600,1,152,1
263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,100,41003000100,600,1,153,1
264,415,162,29,65,33,35,14,94,31,23,6,47,75,34,22,47,41,3,100,41003000100,600,1,154,1
265,144,59,18,21,10,10,1,21,17,20,15,12,22,10,4,1,41,3,10400,41003010400,600,1,155,14
266,15,4,0,1,1,2,0,2,2,0,1,1,1,1,0,0,41,3,10400,41003010400,600,1,156,14
267,21,8,2,1,3,2,0,4,1,3,2,2,3,1,1,0,41,3,10400,41003010400,600,1,157,14
268,57,25,3,16,3,3,0,11,6,8,6,5,10,4,1,0,41,3,10400,41003010400,600,1,158,14
269,52,18,4,4,4,6,0,7,7,4,2,2,3,11,1,0,41,3,10300,41003010300,600,1,159,13
270,183,78,12,45,8,13,0,33,29,16,9,10,14,45,4,1,41,3,10300,41003010300,600,1,160,13
271,8,4,2,1,0,1,0,1,1,2,0,1,1,2,0,0,41,3,10300,41003010300,600,1,161,13
272,74,32,9,10,9,4,0,19,7,6,3,4,13,12,2,0,41,3,10200,41003010200,600,1,162,12
273,191,66,5,35,6,20,0,27,22,17,5,9,27,25,4,0,41,3,10200,41003010200,600,1,163,12
274,71,28,6,13,3,6,2,7,9,10,2,4,12,10,2,0,41,3,10200,41003010200,600,1,164,12
275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10200,41003010200,600,1,165,12
276,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,41,3,10200,41003010200,600,1,166,12
277,323,122,24,47,21,30,1,57,39,25,24,26,45,27,8,2,41,3,500,41003000500,600,1,167,4
278,423,162,18,83,34,27,1,53,53,55,31,34,61,36,12,3,41,3,500,41003000500,600,1,168,4
279,301,122,18,63,20,21,1,44,38,39,3,11,22,86,8,2,41,3,500,41003000500,600,1,169,4
280,152,62,7,36,9,10,1,23,19,19,2,6,11,43,4,1,41,3,500,41003000500,600,1,170,4
281,161,59,4,32,9,14,0,24,20,15,2,5,11,41,5,1,41,3,500,41003000500,600,1,171,4
282,61,24,4,11,3,6,0,8,13,3,1,2,4,17,2,0,41,3,500,41003000500,600,1,172,4
283,66,32,14,9,3,6,1,19,6,6,6,11,8,7,2,0,41,3,600,41003000600,600,1,173,5
284,379,164,59,54,20,31,7,84,36,37,32,54,40,38,14,10,41,3,600,41003000600,600,1,174,5
285,122,47,9,17,10,11,0,27,8,12,9,16,11,11,4,3,41,3,600,41003000600,600,1,175,5
286,307,118,26,40,22,30,0,67,25,26,23,39,29,27,12,11,41,3,600,41003000600,600,1,176,5
287,46,18,5,6,2,5,0,11,4,3,4,6,4,4,1,0,41,3,600,41003000600,600,1,177,5
288,200,54,16,20,5,13,1,31,11,11,11,18,13,12,5,4,41,3,600,41003000600,600,1,178,5
289,63,25,4,14,2,5,0,11,8,6,1,4,5,15,3,4,41,3,10200,41003010200,600,1,179,12
290,12,4,0,1,2,1,0,2,2,0,0,1,1,2,0,0,41,3,10200,41003010200,600,1,180,12
292,411,165,35,70,26,34,9,57,46,53,38,22,38,67,25,124,41,3,900,41003000900,600,1,181,6
293,80,50,26,19,4,1,17,21,6,6,26,10,8,6,5,35,41,3,1102,41003001102,600,1,182,10
294,138,67,27,27,2,11,31,29,2,5,35,13,11,8,9,64,41,3,1102,41003001102,600,1,183,10
295,125,57,20,20,6,11,18,32,4,3,30,17,3,7,8,49,41,3,10600,41003010600,600,1,184,15
296,197,93,37,32,12,12,20,58,8,7,49,27,5,12,12,75,41,3,10600,41003010600,600,1,185,15
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,186,15
298,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,41,3,10600,41003010600,600,1,187,15
299,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,3,10600,41003010600,600,1,188,15
